sample,fastq_1,fastq_2,antibody,control
MCF10A_WT,data/input/raw_data/chipseq/CTCF/ChIP_007_MCF10A_WT_IgG_R1.fastq.gz,,,
MCF10A_T1,data/input/raw_data/chipseq/CTCF/ChIP_008_MCF10A_T1_IgG_R1.fastq.gz,,,
MCF10A_C1,data/input/raw_data/chipseq/CTCF/ChIP_009_MCF10A_C1_IgG_R1.fastq.gz,,,
MCF10A_WT_CTCF_REP1,data/input/raw_data/chipseq/CTCF/ChIP_001_MCF10A_WT_CTCF_R1.fastq.gz,,CTCF,MCF10A_WT
MCF10A_WT_CTCF_REP2,data/input/raw_data/chipseq/CTCF/ChIP_002_MCF10A_WT_CTCF_R1.fastq.gz,,CTCF,MCF10A_WT
MCF10A_T1_CTCF_REP1,data/input/raw_data/chipseq/CTCF/ChIP_003_MCF10A_T1_CTCF_R1.fastq.gz,,CTCF,MCF10A_T1
MCF10A_T1_CTCF_REP2,data/input/raw_data/chipseq/CTCF/ChIP_004_MCF10A_T1_CTCF_R1.fastq.gz,,CTCF,MCF10A_T1
MCF10A_C1_CTCF_REP1,data/input/raw_data/chipseq/CTCF/ChIP_005_MCF10A_C1_CTCF_R1.fastq.gz,,CTCF,MCF10A_C1
MCF10A_C1_CTCF_REP2,data/input/raw_data/chipseq/CTCF/ChIP_006_MCF10A_C1_CTCF_R1.fastq.gz,,CTCF,MCF10A_C1
