sample,fastq_1,fastq_2
MCF10A_WT_REP1,data/input/raw_data/proseq/PROseq_001_MCF10A_WT_R1.fastq.gz,
MCF10A_WT_REP2,data/input/raw_data/proseq/PROseq_002_MCF10A_WT_R1.fastq.gz,
