sample,fastq_1,fastq_2,antibody,control
MCF10A_WT_REP1,data/input/raw_data/chipseq/p53/ChIP_003_MCF10A_WT_IgG_R1.fastq.gz,,,
MCF10A_WT_REP2,data/input/raw_data/chipseq/p53/ChIP_004_MCF10A_WT_IgG_R1.fastq.gz,,,
MCF10A_WT_p53_REP1,data/input/raw_data/chipseq/p53/ChIP_001_MCF10A_WT_p53_R1.fastq.gz,,p53,MCF10A_WT_REP1
MCF10A_WT_p53_REP2,data/input/raw_data/chipseq/p53/ChIP_002_MCF10A_WT_p53_R1.fastq.gz,,p53,MCF10A_WT_REP2
